Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
veilleuse bébé,Informational,18100,26,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
veilleuse,Informational,12100,24,0.23,"Video, Video carousel, People also ask, Related searches, Popular products"
veilleuse enfant,Informational,8100,32,0.00,"Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
bebe veilleuse,Informational,4400,29,0.26,"Video, People also ask, Knowledge panel, Related searches"
veilleuse bebe,Informational,4400,29,0.26,"Video, People also ask, Related searches, Popular products"
veilleuse tortue,Informational,2900,21,0.18,"Image, Image pack, Video, People also ask, Related searches, Popular products"
pabobo veilleuse,"Informational, Transactional",2400,29,0.16,"Image, Image pack, People also ask, Related searches, Popular products"
veilleuse pabobo,"Informational, Transactional",2400,25,0.16,"Reviews, Image pack, Related searches, Popular products"
tortue veilleuse,Informational,1900,16,0.18,"Image, Image pack, Video, Short videos, Related searches, Popular products"
veilleuse baleine,Commercial,1900,16,0.27,"Image pack, Video, Related searches, Popular products"
veilleuse coranique,Informational,1900,27,0.14,"Image pack, Video, People also ask, Related searches, Popular products"
veilleuse musical pour bebe,Commercial,1900,19,0.13,"Sitelinks, Video, Video carousel, Short videos, People also ask, Related searches, Popular products"
veilleuse lapin,"Informational, Transactional",1600,24,0.27,"Image pack, Video, People also ask, Related searches, Popular products"
veilleuse momcozy,"Informational, Transactional",1600,31,0.10,"Image pack, People also ask, Related searches, Popular products"
veilleuse prise,Transactional,1600,21,0.21,"Image, Image pack, Video, People also ask, Related searches, Popular products"
veilleuse stitch,"Informational, Transactional",1600,26,0.19,"Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
veilleuse sur prise,Commercial,1600,23,0.16,"Image pack, Video, People also ask, Related searches, Popular products"
baleine veilleuse,Informational,1300,18,0.31,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
la mer veilleuse beach club plage privée,Informational,1300,17,0.00,"Image, Video, People also ask, Knowledge panel, Related searches, Ads bottom"
lampe veilleuse,Transactional,1300,26,0.23,"Image pack, Video, Short videos, People also ask, Related searches, Popular products"
veilleuse adulte,Informational,1300,21,0.20,"Image, Image pack, Video, People also ask, Related searches, Popular products"
veilleuse bruit blanc,Commercial,1300,15,0.13,"Image pack, Video, People also ask, Related searches"
veilleuse de nuit,Commercial,1300,15,0.37,"Video, People also ask, Related searches, Popular products"
veilleuse ikea,"Informational, Transactional",1300,44,0.00,"Image, Image pack, Video, Related searches, Popular products"
veilleuse personnalisable,Commercial,1300,9,0.90,"Image, Image pack, Video, Video carousel, Short videos, Related searches, Popular products"
veilleuse personnalisé,Informational,1300,9,0.84,"Image pack, Video, Video carousel, Related searches, Popular products"
ikea veilleuse,"Informational, Transactional",1000,38,0.00,"Image, Image pack, Related searches, Popular products"
